"C:\Users\Knopf Lab\Documents\Michelle\07122023\071223_17.4wt%GLY_S1_2min_2.tif"
"Item" , "Value" , "Units"
"Object Count" , 262 , "Objects"
"Selected Area" , 355926 , "microns"
"Total Object Area" , 148730 , "microns"
"Percent Object Area" , 41.7867 , "%"
"Summary Average Gray" , 47737.1 , "GrayValues"
"Summary Total Gray" , 8.83311e+09 , "GrayValues"
"Summary Min Gray" , 8416 , "GrayValues"
"Summary Max Gray" , 65520 , "GrayValues"

"Object Number" , "Units" , "Area" , "Perimeter" , "Shape Factor" , "Centroid X" , "Centroid Y" , "Hole Count" , "Diameter" , "Orientation" , "Enclosure Left" , "Enclosure Top" , "Enclosure Right" , "Enclosure Bottom" , "Min Gray" , "Max Gray" , "Total Gray" , "Average Gray" , "Bin Classification" , "Diameter X1" , "Diameter Y1" , "Diameter X2" , "Diameter Y2" , "Weighted Centroid X" , "Weighted Centroid Y" , "Minimum Radius" , "Minimum Radius X" , "Minimum Radius Y" , "Maximum Radius" , "Maximum Radius X" , "Maximum Radius Y" , "Weighted Minimum Radius" , "Weighted Minimum Radius X" , "Weighted Minimum Radius Y" , "Weighted Maximum Radius" , "Weighted Maximum Radius X" , "Weighted Maximum Radius Y" , "Minor Axis Diameter" , "Minor Axis Diameter X1" , "Minor Axis Diameter Y1" , "Minor Axis Diameter X2" , "Minor Axis Diameter Y2" , "Equivalent Circle Diameter" , "Equivalent Sphere Volume" , "Thread Length" , "Thread Width" , "Elongation" , "Roundness"
1 , "microns" , 47552.8 , 2081.44 , 0.137929 , 91.188 , 241.48 , 0 , 406.839 , 108.81 , 0 , 0 , 295 , 402 , 9072 , 65520 , 2.74959e+09 , 42239.6 , "Default Bin" , 294 , 402 , 141 , 0 , 96.0116 , 235.919 , 46.4701 , 143 , 225 , 221.21 , 295 , 401 , 40.5617 , 137 , 212 , 220.983 , 295 , 401 , 247.01 , 0 , 402 , 273 , 309 , 246.061 , 7.8006e+06 , 992.825 , 47.8965 , 1.64705 , 7.25008
2 , "microns" , 119.804 , 39.4985 , 0.964987 , 282.848 , 5.88415 , 0 , 13.7019 , 5.83955 , 276 , 0 , 290 , 13 , 30320 , 65520 , 8.74848e+06 , 53344.4 , "Default Bin" , 276 , 6 , 291 , 4 , 282.959 , 5.92977 , 5.03087 , 283 , 0 , 6.35057 , 276 , 3 , 5.0683 , 283 , 0 , 6.45344 , 276 , 3 , 11.9963 , 278 , 0 , 279 , 0 , 12.3507 , 986.443 , 13.7019 , 13.7019 , 1.14218 , 1.03628
3 , "microns" , 37.2562 , 56.5066 , 0.146626 , 479.706 , 6.60784 , 0 , 14.555 , 1.60335 , 473 , 0 , 489 , 12 , 31312 , 49232 , 2.11192e+06 , 41410.2 , "Default Bin" , 473 , 1 , 489 , 1 , 479.877 , 6.53694 , 3.70871 , 477 , 10 , 9.27768 , 489 , 1 , 3.84811 , 477 , 10 , 9.1211 , 489 , 1 , 11.1439 , 474 , 0 , 474 , 0 , 6.88738 , 171.065 , 26.8666 , 1.38671 , 1.30609 , 6.82008
4 , "microns" , 69875.1 , 2887.09 , 0.105345 , 1083.87 , 224.552 , 0 , 432.48 , 70.4564 , 826 , 0 , 1208 , 402 , 8416 , 58880 , 4.00551e+09 , 41875.9 , "Default Bin" , 829 , 402 , 998 , 0 , 1075.94 , 220.929 , 67.6911 , 1010 , 196 , 266.1 , 826 , 399 , 60.2486 , 1010 , 196 , 262.293 , 826 , 399 , 309.403 , 826 , 399 , 1166 , 520 , 298.275 , 1.38946e+07 , 1393.4 , 50.1474 , 1.39779 , 9.49264
5 , "microns" , 53.3275 , 50.1697 , 0.266243 , 915.37 , 5 , 0 , 12.849 , 4.6587 , 909 , 0 , 923 , 10 , 29968 , 50592 , 3.05803e+06 , 41890.8 , "Default Bin" , 909 , 1 , 923 , 0 , 915.447 , 4.99523 , 3.10268 , 919 , 5 , 7.36329 , 923 , 1 , 3.03717 , 919 , 5 , 7.30342 , 923 , 1 , 10.292 , 907 , 0 , 908 , 0 , 8.24007 , 292.948 , 22.7397 , 2.34513 , 1.24845 , 3.75596
6 , "microns" , 108.847 , 33.3082 , 1.23289 , 964.866 , 5.19463 , 0 , 13.7019 , 13.1034 , 958 , 0 , 972 , 11 , 27168 , 54512 , 6.49179e+06 , 43569.1 , "Default Bin" , 958 , 5 , 973 , 2 , 964.893 , 5.23514 , 4.44134 , 965 , 0 , 6.37962 , 972 , 3 , 4.45289 , 967 , 10 , 6.36758 , 972 , 3 , 11.1439 , 936 , 0 , 939 , 0 , 11.7723 , 854.252 , 13.7019 , 13.7019 , 1.22954 , 0.811105
7 , "microns" , 121.265 , 42.0626 , 0.8613 , 172.627 , 10.0723 , 0 , 13.7019 , 101.138 , 166 , 3 , 179 , 17 , 28048 , 65520 , 8.1175e+06 , 48900.6 , "Default Bin" , 175 , 17 , 172 , 2 , 172.731 , 10.1012 , 5.42106 , 167 , 13 , 6.25899 , 175 , 17 , 5.35879 , 179 , 10 , 6.24711 , 171 , 3 , 12.849 , 166 , 10 , 180 , 7 , 12.4258 , 1004.54 , 13.7019 , 13.7019 , 1.06638 , 1.16104
8 , "microns" , 116.882 , 41.5619 , 0.850291 , 670.25 , 11.8187 , 0 , 12.849 , 68.7204 , 664 , 5 , 677 , 19 , 31488 , 64336 , 8.20669e+06 , 51291.8 , "Default Bin" , 666 , 17 , 671 , 4 , 670.355 , 11.8743 , 5.25626 , 676 , 14 , 6.23011 , 669 , 19 , 5.15581 , 676 , 14 , 6.1994 , 669 , 19 , 12.849 , 664 , 9 , 677 , 14 , 12.1991 , 950.575 , 12.849 , 12.849 , 1 , 1.17607
9 , "microns" , 204.544 , 54.9438 , 0.851449 , 232.829 , 14.95 , 0 , 17.9691 , 137.635 , 224 , 6 , 242 , 24 , 28768 , 65520 , 1.49699e+07 , 53464 , "Default Bin" , 240 , 22 , 225 , 9 , 232.934 , 14.9884 , 6.73785 , 238 , 9 , 8.65092 , 224 , 10 , 6.70405 , 238 , 9 , 8.74568 , 224 , 10 , 15.4083 , 226 , 20 , 237 , 7 , 16.1379 , 2200.61 , 17.9691 , 17.9691 , 1.16619 , 1.17447
10 , "microns" , 143.181 , 46.1894 , 0.843352 , 1002.88 , 13.6276 , 0 , 13.7019 , 59.6377 , 995 , 6 , 1010 , 21 , 24768 , 53520 , 8.40021e+06 , 42858.2 , "Default Bin" , 997 , 19 , 1005 , 6 , 1002.88 , 13.6522 , 5.8875 , 1001 , 7 , 6.83164 , 1010 , 10 , 5.90905 , 1001 , 7 , 6.83697 , 1010 , 10 , 13.7019 , 997 , 9 , 1010 , 17 , 13.502 , 1288.81 , 13.7019 , 13.7019 , 1 , 1.18574
